Time,Station,Type,Login_Mode,Operator,Tact_Time(Sec),LotNum,Barcode,VCMID,SensorID,FPCBID,SIte_1,Site_2,Site_3,Site_4,Site_5,Site_6,Site_7,Site_8,Site_9,Pass_Count,Fail_Count,Total,Result,CODE,Para,ERROR,Site_1_Result_code,Site_2_Result_code,Site_3_Result_code,Site_4_Result_code,Site_5_Result_code,Site_6_Result_code,Site_7_Result_code,Site_8_Result_code,Site_9_Result_code,Site_1_Result_name,Site_2_Result_name,Site_3_Result_name,Site_4_Result_name,Site_5_Result_name,Site_6_Result_name,Site_7_Result_name,Site_8_Result_name,Site_9_Result_name,SWversion_site1,SWversion_site2,SWversion_site3,SWversion_site4,SWversion_site5,SWversion_site6,SWversion_site7,SWversion_site8,SWversion_site9,SWversion_Matching,Site_1_ReInsp,Site_2_ReInsp,Site_3_ReInsp,Site_4_ReInsp,Site_5_ReInsp,Site_6_ReInsp,Site_7_ReInsp,Site_8_ReInsp,Site_9_ReInsp,Insp_Mode,Site_1_LastCode,Site_2_LastCode,Site_3_LastCode,Site_4_LastCode,Site_5_LastCode,Site_6_LastCode,Site_7_LastCode,Site_8_LastCode,Site_9_LastCode,Site_1_LastTime,Site_2_LastTime,Site_3_LastTime,Site_4_LastTime,Site_5_LastTime,Site_6_LastTime,Site_7_LastTime,Site_8_LastTime,Site_9_LastTime,A_LIGHT_AE_TIME,A_REFERENCE,D_LIGHT_AE_TIME,D_REFERENCE,A_COLOR_RG,A_COLOR_RG_REF,A_COLOR_BG,A_COLOR_BG_REF,D_COLOR_RG,D_COLOR_RG_REF,D_COLOR_BG,D_COLOR_BG_REF,GAIN_B1,GAIN_B1_REF,GAIN_B2,GAIN_B2_REF,GAIN_H1,GAIN_H1_REF,GAIN_H2,GAIN_H2_REF,EM_H1_6,EM_H1_6_REF,EM_H1_7,EM_H1_7_REF,EM_H1_8,EM_H1_8_REF,EM_H1_9,EM_H1_9_REF,EM_H1_10,EM_H1_10_REF,EM_H2_2,EM_H2_2_REF,EM_H2_3,EM_H2_3_REF,EM_H2_4,EM_H2_4_REF,EM_H2_5,EM_H2_5_REF,EM_H2_11,EM_H2_11_REF,EM_H2_12,EM_H2_12_REF,SOCKET_UP,SOCKET_DOWN,SOCKET_OPEN,SOCKET_CLOSE,SW_VERSION,PBS_VERSION
'2021-06-13 07:00:07.005,KCMCT5241H,R04A,OP,º€¡ÿ»Ï,23.46,GGY733AM6B01,DN81246F6UCH1HW1F,AZ3B147115D3B1A19333051132,0ace02081113,THA12130DGB06MWA6,0.00,21.42,22.25,0.00,18.18,21.25,21.33,20.55,20.36,99,51,150,PASS,1,7,PASS,-1,1,1,-1,1,1,1,1,1,-,PASS,PASS,-,PASS,PASS,PASS,PASS,PASS,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6773,6689,7273,7323,0.816,0.816,0.272,0.275,0.476,0.478,0.519,0.522,9.756,9.180,9.568,9.073,8.618,8.485,7.146,9.429,0.950,0.949,0.948,0.953,0.951,0.951,0.945,0.951,0.000,0.000,0.948,0.950,0.950,0.953,0.943,0.949,0.946,0.949,0.000,0.000,0.000,0.000,0.764,0.639,1.233,0.858,1.4.1.54,PBS_20.200424
'2021-06-13 07:00:30.626,KCMCT5241H,R04A,OP,º€¡ÿ»Ï,23.71,GGY733AM6B01,DN81246F6U3H1HW1Q,AZ3B1511C060B3A19829005018,0ace02080972,THA121304R906MWAQ,0.00,21.73,21.68,0.00,19.44,21.17,21.23,20.22,20.55,100,50,150,PASS,1,5,PASS,-1,1,1,-1,1,1,1,1,1,-,PASS,PASS,-,PASS,PASS,PASS,PASS,PASS,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6773,6689,7273,7323,0.813,0.816,0.278,0.275,0.477,0.478,0.527,0.522,9.342,9.180,9.425,9.073,9.268,8.485,7.602,9.429,0.957,0.949,0.946,0.953,0.950,0.951,0.950,0.951,0.000,0.000,0.952,0.950,0.949,0.953,0.950,0.949,0.950,0.949,0.000,0.000,0.000,0.000,0.765,0.686,1.170,0.843,1.4.1.54,PBS_20.200424
'2021-06-13 07:00:53.903,KCMCT5241H,R04A,OP,º€¡ÿ»Ï,23.48,GGY733AM6B01,DN81246F6U4H1HW1P,AZ3B1511C05NB3A1A429067015,0ace02080356,THA121304NU06MWAE,0.00,21.30,21.25,0.00,17.52,21.14,20.92,20.16,20.51,101,50,151,PASS,1,3,PASS,-1,1,1,-1,1,1,1,1,1,-,PASS,PASS,-,PASS,PASS,PASS,PASS,PASS,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6773,6689,7273,7323,0.816,0.816,0.278,0.275,0.477,0.478,0.529,0.522,8.565,9.180,8.643,9.073,9.628,8.485,7.684,9.429,0.957,0.949,0.957,0.953,0.955,0.951,0.955,0.951,0.000,0.000,0.956,0.950,0.953,0.953,0.956,0.949,0.948,0.949,0.000,0.000,0.000,0.000,0.780,0.671,1.170,0.811,1.4.1.54,PBS_20.200424
'2021-06-13 07:01:59.363,KCMCT5241H,R04A,OP,º€¡ÿ»Ï,65.44,GGY733AM6B01,DN81246F6U5H1HW1N,AZ3B147115BMB1A1A036063109,0ace02080766,THA121304S706MWAP,0.00,21.23,22.20,0.00,17.55,0.00,0.00,0.00,0.00,101,51,152,FAIL,451,2,SFR Macro Up,-1,1,1,-1,451,0,0,0,0,-,PASS,PASS,-,SFR Macro Up,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.816,0.000,0.275,0.000,0.478,0.000,0.522,9.442,9.180,9.470,9.073,7.935,8.485,8.862,9.429,0.949,0.949,0.949,0.953,0.951,0.951,0.943,0.951,0.000,0.000,0.950,0.950,0.953,0.953,0.953,0.949,0.949,0.949,0.000,0.000,0.000,0.000,0.764,0.592,1.217,0.858,1.4.1.54,PBS_20.200424
'2021-06-13 07:02:24.401,KCMCT5241H,R04A,OP,º€¡ÿ»Ï,23.99,GGY733AM6B01,DN81246F6U6H1HW1M,AZ3B147105EPB1A19634033123,0ace02080182,THA121304R206MWAX,0.00,21.43,21.59,0.00,20.00,0.00,0.00,0.00,0.00,101,52,153,FAIL,451,8,SFR Macro Up,-1,1,1,-1,451,0,0,0,0,-,PASS,PASS,-,SFR Macro Up,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.816,0.000,0.275,0.000,0.478,0.000,0.522,10.014,9.180,10.047,9.073,8.117,8.485,9.549,9.429,0.943,0.949,0.947,0.953,0.946,0.951,0.946,0.951,0.000,0.000,0.946,0.950,0.950,0.953,0.942,0.949,0.944,0.949,0.000,0.000,0.000,0.000,0.765,0.702,1.279,0.858,1.4.1.54,PBS_20.200424
'2021-06-13 07:02:45.977,KCMCT5241H,R04A,OP,º€¡ÿ»Ï,22.64,GGY733AM6B01,DN81246F6UGH1HW1B,AZ3B147125FBB1A19133020115,0ace02080565,THA121304Q406MWAY,0.00,21.59,22.06,0.00,20.06,0.00,0.00,0.00,0.00,101,52,153,FAIL,451,6,SFR Macro Up,-1,1,1,-1,451,0,0,0,0,-,PASS,PASS,-,SFR Macro Up,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.816,0.000,0.275,0.000,0.478,0.000,0.522,9.480,9.180,9.460,9.073,8.940,8.485,9.827,9.429,0.941,0.949,0.948,0.953,0.950,0.951,0.947,0.951,0.000,0.000,0.949,0.950,0.950,0.953,0.946,0.949,0.946,0.949,0.000,0.000,0.000,0.000,0.780,0.640,1.170,0.983,1.4.1.54,PBS_20.200424
'2021-06-13 07:03:08.685,KCMCT5241H,R04A,OP,º€¡ÿ»Ï,22.79,GGY733AM6B01,DN81246F6TZH1HW1X,AZ3B1511D05EB3A1A829109117,0ace02090194,THA121304RL06MWAD,0.00,21.75,22.36,0.00,19.11,21.14,20.61,20.05,19.19,102,51,153,PASS,1,4,PASS,-1,1,1,-1,1,1,1,1,1,-,PASS,PASS,-,PASS,PASS,PASS,PASS,PASS,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6773,6689,7273,7323,0.815,0.816,0.276,0.275,0.474,0.478,0.528,0.522,8.830,9.180,9.124,9.073,8.910,8.485,9.805,9.429,0.951,0.949,0.957,0.953,0.953,0.951,0.955,0.951,0.000,0.000,0.954,0.950,0.954,0.953,0.947,0.949,0.949,0.949,0.000,0.000,0.000,0.000,0.764,0.718,1.280,0.874,1.4.1.54,PBS_20.200424
'2021-06-13 07:06:44.576,KCMCT5241H,R04A,OP,º€¡ÿ»Ï,215.70,GGY733AM6B01,DN81246F6UAH1HW1H,AZ1B14702003A7A1A640015004,0ace02080910,THA121300MD06MWA2,0.00,21.28,22.06,0.00,18.16,0.00,0.00,0.00,0.00,102,51,153,FAIL,451,1,SFR Macro Up,-1,1,1,-1,451,0,0,0,0,-,PASS,PASS,-,SFR Macro Up,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.816,0.000,0.275,0.000,0.478,0.000,0.522,8.468,9.180,8.523,9.073,8.405,8.485,10.094,9.429,0.952,0.949,0.956,0.953,0.953,0.951,0.956,0.951,0.000,0.000,0.954,0.950,0.954,0.953,0.950,0.949,0.950,0.949,0.000,0.000,0.000,0.000,0.765,0.453,1.170,0.842,1.4.1.54,PBS_20.200424
'2021-06-13 07:07:07.940,KCMCT5241H,R04A,OP,º€¡ÿ»Ï,23.07,GGY733AM6B01,DN81246F6UBH1HW1G,AZ3B147105F0B1A1A034037102,0ace02081119,THA12130HQV06MWAU,0.00,21.36,21.45,0.00,17.60,0.00,0.00,0.00,0.00,102,52,154,FAIL,451,7,SFR Macro Up,-1,1,1,-1,451,0,0,0,0,-,PASS,PASS,-,SFR Macro Up,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.816,0.000,0.275,0.000,0.478,0.000,0.522,8.703,9.180,8.651,9.073,7.945,8.485,9.084,9.429,0.950,0.949,0.958,0.953,0.950,0.951,0.952,0.951,0.000,0.000,0.957,0.950,0.957,0.953,0.948,0.949,0.951,0.949,0.000,0.000,0.000,0.000,0.764,0.639,1.232,0.874,1.4.1.54,PBS_20.200424
'2021-06-13 07:07:31.111,KCMCT5241H,R04A,OP,º€¡ÿ»Ï,23.32,GGY733AM6B01,DN81246F6U0H1HW1T,AZ3B147125GBB1A19436043120,0ace02080240,THA121301C806MWAZ,0.00,21.34,22.54,0.00,17.96,21.18,20.76,20.48,20.72,103,51,154,PASS,1,5,PASS,-1,1,1,-1,1,1,1,1,1,-,PASS,PASS,-,PASS,PASS,PASS,PASS,PASS,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6566,6689,7273,7323,0.814,0.816,0.280,0.275,0.478,0.478,0.530,0.522,8.885,9.180,9.058,9.073,8.553,8.485,10.501,9.429,0.952,0.949,0.951,0.953,0.953,0.951,0.951,0.951,0.000,0.000,0.950,0.950,0.950,0.953,0.949,0.949,0.950,0.949,0.000,0.000,0.000,0.000,0.765,0.656,1.170,0.842,1.4.1.54,PBS_20.200424
'2021-06-13 07:07:53.676,KCMCT5241H,R04A,OP,º€¡ÿ»Ï,22.82,GGY733AM6B01,DN81246F6U1H1HW1S,MB211332A19F21A1A937110012,0ace29110188,THA121300PN06MWAM,0.00,3.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,103,51,154,FAIL,32,3,Module Barcode Mismatching,-1,32,0,-1,0,0,0,0,0,-,Module Barcode Mismatching,STOP,-,STOP,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,-1,-1,-1,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.816,0.000,0.275,0.000,0.478,0.000,0.522,0.000,9.180,0.000,9.073,0.000,8.485,0.000,9.429,0.000,0.949,0.000,0.953,0.000,0.951,0.000,0.951,0.000,0.000,0.000,0.950,0.000,0.953,0.000,0.949,0.000,0.949,0.000,0.000,0.000,0.000,0.764,0.655,1.123,0.796,1.4.1.54,PBS_20.200424
'2021-06-13 07:08:17.156,KCMCT5241H,R04A,OP,º€¡ÿ»Ï,23.40,GGY733AM6B01,DN81246F6U2H1HW1R,AZ3B147125GAB1A19332018012,0ace02080064,THA121304RF06MWAJ,0.00,21.26,20.87,0.00,17.94,21.11,20.20,20.08,19.52,104,51,155,PASS,1,2,PASS,-1,1,1,-1,1,1,1,1,1,-,PASS,PASS,-,PASS,PASS,PASS,PASS,PASS,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,R04A_UDT_MFG_DarkAll_C1001_20120313_8e6c1999,R04A_UDT_MFG_SFR_InfDn_C1001_20120313_8e6c1999,R04A_UDT_MFG_A_C1001_20120313_8e6c1999,R04A_UDT_MFG_DL50_C1001_20120313_8e6c1999,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6566,6689,7273,7323,0.809,0.816,0.277,0.275,0.474,0.478,0.528,0.522,9.120,9.180,9.290,9.073,8.558,8.485,10.199,9.429,0.947,0.949,0.947,0.953,0.951,0.951,0.946,0.951,0.000,0.000,0.953,0.950,0.954,0.953,0.950,0.949,0.948,0.949,0.000,0.000,0.000,0.000,0.780,0.624,1.232,0.827,1.4.1.54,PBS_20.200424
'2021-06-13 07:08:40.947,KCMCT5241H,R04A,OP,º€¡ÿ»Ï,22.78,GGY733AM6B01,DN81246F6U5H1HW1N,AZ3B147115BMB1A1A036063109,0ace02080766,THA121304S706MWAP,0.00,21.42,22.18,0.00,17.57,0.00,0.00,0.00,0.00,104,52,156,FAIL,451,8,SFR Macro Up,-1,1,1,-1,451,0,0,0,0,-,PASS,PASS,-,SFR Macro Up,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.816,0.000,0.275,0.000,0.478,0.000,0.522,9.413,9.180,9.458,9.073,7.930,8.485,8.824,9.429,0.952,0.949,0.949,0.953,0.948,0.951,0.948,0.951,0.000,0.000,0.945,0.950,0.952,0.953,0.949,0.949,0.948,0.949,0.000,0.000,0.000,0.000,0.780,0.671,1.279,0.858,1.4.1.54,PBS_20.200424
'2021-06-13 07:12:09.544,KCMCT5241H,R04A,OP,º€¡ÿ»Ï,209.56,GGY733AM6B01,DN81246F6U6H1HW1M,AZ3B147105EPB1A19634033123,0ace02080182,THA121304R206MWAX,0.00,21.67,21.65,0.00,19.25,0.00,0.00,0.00,0.00,104,53,157,FAIL,451,6,SFR Macro Up,-1,1,1,-1,451,0,0,0,0,-,PASS,PASS,-,SFR Macro Up,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.816,0.000,0.275,0.000,0.478,0.000,0.522,9.979,9.180,9.996,9.073,8.113,8.485,9.558,9.429,0.947,0.949,0.947,0.953,0.942,0.951,0.946,0.951,0.000,0.000,0.949,0.950,0.952,0.953,0.949,0.949,0.945,0.949,0.000,0.000,0.000,0.000,0.780,0.639,1.170,0.968,1.4.1.54,PBS_20.200424
'2021-06-13 07:12:33.263,KCMCT5241H,R04A,OP,º€¡ÿ»Ï,23.82,GGY733AM6B01,DN81246F6UGH1HW1B,AZ3B147125FBB1A19133020115,0ace02080565,THA121304Q406MWAY,0.00,21.29,21.95,0.00,17.68,0.00,0.00,0.00,0.00,104,53,157,FAIL,451,4,SFR Macro Up,-1,1,1,-1,451,0,0,0,0,-,PASS,PASS,-,SFR Macro Up,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,R04A_UDT_MFG_Collimator_C1001_20120313_8e6c1999,-1,R04A_UDT_MFG_SFR_MacUp_C1001_20120313_8e6c1999,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.816,0.000,0.275,0.000,0.478,0.000,0.522,9.471,9.180,9.503,9.073,8.954,8.485,9.809,9.429,0.948,0.949,0.947,0.953,0.946,0.951,0.945,0.951,0.000,0.000,0.954,0.950,0.949,0.953,0.946,0.949,0.942,0.949,0.000,0.000,0.000,0.000,0.764,0.718,1.342,0.874,1.4.1.54,PBS_20.200424
'2021-06-13 07:12:56.864,KCMCT5241H,R04A,OP,º€¡ÿ»Ï,23.48,GGY733AM6B01,DN81246F6PRH1HW1H,MB211332A10421A1A628120011,0ace29110739,THA12130DF506MWAF,0.00,3.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104,53,157,FAIL,32,1,Module Barcode Mismatching,-1,32,0,-1,0,0,0,0,0,-,Module Barcode Mismatching,STOP,-,STOP,STOP,STOP,STOP,STOP,-1,R04A_UDT_MFG_Laser_C1001_20120313_8e6c1999,-1,-1,-1,-1,-1,-1,-1,matching,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,6689,0,7323,0.000,0.816,0.000,0.275,0.000,0.478,0.000,0.522,0.000,9.180,0.000,9.073,0.000,8.485,0.000,9.429,0.000,0.949,0.000,0.953,0.000,0.951,0.000,0.951,0.000,0.000,0.000,0.950,0.000,0.953,0.000,0.949,0.000,0.949,0.000,0.000,0.000,0.000,0.764,0.468,1.186,0.827,1.4.1.54,PBS_20.200424
